order_id,return_date_key,return_reason,return_amt
101248,20240206,Other,302.77
101256,20240128,Size/fit,19.52
101271,20240121,Size/fit,75.06
101295,20240131,Changed mind,84.04
101310,20240131,Size/fit,12.97
101313,20240212,Size/fit,387.03
101347,20240124,Size/fit,14.43
101356,20240201,Late delivery,93.03
101360,20240202,Changed mind,41.15
101361,20240206,Size/fit,436.71
101366,20240205,Changed mind,12.41
101367,20240201,Other,8.68
101371,20240130,Size/fit,109.14
101401,20240124,Size/fit,28.07
101403,20240203,Late delivery,60.82
101409,20240130,Size/fit,7.63
101414,20240208,Defective,25.29
101431,20240219,Changed mind,52.25
101453,20240215,Defective,75.77
101463,20240129,Size/fit,71.35
101491,20240128,Defective,33.99
101503,20240215,Changed mind,75.94
101515,20240210,Defective,69.62
101521,20240220,Size/fit,38.46
101522,20240210,Size/fit,72.72
101523,20240220,Changed mind,25.13
101530,20240204,Other,84.37
101544,20240204,Defective,34.43
101545,20240206,Defective,48.14
101580,20240128,Other,28.37
101595,20240204,Size/fit,134.92
101598,20240224,Defective,44.83
101695,20240211,Defective,137.38
101726,20240214,Size/fit,41.12
101752,20240220,Size/fit,104.05
101760,20240224,Defective,188.61
101801,20240215,Size/fit,51.62
101824,20240225,Defective,143.85
101828,20240221,Size/fit,407.16
101832,20240201,Size/fit,47.49
101847,20240215,Size/fit,44.08
101849,20240220,Other,113.96
101854,20240210,Size/fit,112.59
101883,20240228,Late delivery,98.8
101887,20240227,Changed mind,415.63
101907,20240203,Size/fit,18.23
101909,20240221,Changed mind,81.05
101911,20240221,Defective,144.98
101914,20240215,Changed mind,18.74
101930,20240221,Changed mind,7.57
101948,20240209,Other,183.71
101975,20240207,Size/fit,28.25
102009,20240213,Defective,6.1
102016,20240223,Other,31.86
102018,20240213,Late delivery,331.82
102020,20240208,Changed mind,53.35
102047,20240209,Defective,64.16
102052,20240203,Late delivery,46.81
102065,20240227,Changed mind,69.4
102110,20240208,Late delivery,16.4
102131,20240223,Late delivery,16.72
102134,20240204,Size/fit,18.63
102153,20240213,Defective,77.05
102159,20240304,Size/fit,52.25
102167,20240211,Other,197.8
102210,20240215,Defective,135.13
102234,20240218,Size/fit,6.17
102236,20240304,Size/fit,145.22
102239,20240218,Other,35.32
102241,20240215,Late delivery,56.09
102251,20240214,Other,47.2
102253,20240224,Size/fit,67.32
102262,20240214,Size/fit,30.34
102275,20240213,Changed mind,98.44
102281,20240304,Changed mind,190.02
102292,20240218,Other,137.14
102293,20240228,Size/fit,46.58
102309,20240210,Size/fit,35.05
102319,20240223,Size/fit,52.42
102332,20240217,Changed mind,263.61
102350,20240229,Other,132.08
102368,20240212,Size/fit,353.77
102376,20240221,Late delivery,5.39
102378,20240210,Late delivery,78.35
102383,20240218,Other,145.96
102397,20240306,Size/fit,6.96
102398,20240303,Changed mind,15.48
102412,20240216,Other,48.68
102427,20240209,Changed mind,14.66
102448,20240227,Changed mind,52.45
102462,20240307,Changed mind,43.34
102467,20240222,Defective,27.0
102491,20240305,Defective,55.24
102502,20240229,Late delivery,53.98
102505,20240217,Changed mind,32.02
102507,20240223,Late delivery,13.36
102509,20240222,Size/fit,10.01
102511,20240228,Changed mind,55.28
102517,20240222,Defective,160.95
102522,20240307,Late delivery,49.76
102525,20240220,Size/fit,170.9
102536,20240212,Size/fit,27.02
102559,20240225,Changed mind,161.39
102575,20240218,Defective,39.83
102596,20240228,Changed mind,11.24
102608,20240213,Size/fit,105.14
102620,20240213,Size/fit,136.31
102622,20240224,Other,5.34
102625,20240228,Changed mind,42.09
102657,20240302,Late delivery,39.4
102659,20240219,Defective,75.61
102666,20240212,Defective,53.28
102668,20240221,Changed mind,13.87
102679,20240223,Size/fit,9.96
102684,20240223,Changed mind,98.55
102707,20240308,Size/fit,58.8
102720,20240220,Changed mind,70.2
102770,20240306,Size/fit,464.83
102771,20240229,Size/fit,85.76
102773,20240225,Other,60.86
102786,20240223,Changed mind,26.12
102798,20240215,Size/fit,186.96
102800,20240313,Defective,74.0
102805,20240309,Changed mind,80.48
102808,20240306,Size/fit,21.93
102809,20240228,Changed mind,67.91
102821,20240227,Defective,46.25
102848,20240311,Defective,30.32
102866,20240313,Size/fit,33.2
102868,20240305,Size/fit,85.31
102895,20240226,Other,62.55
102925,20240229,Changed mind,67.12
102931,20240311,Other,39.16
102960,20240306,Size/fit,12.01
102979,20240302,Changed mind,41.27
102991,20240228,Late delivery,411.4
103004,20240221,Size/fit,17.05
103022,20240305,Changed mind,64.67
103026,20240312,Changed mind,28.35
103033,20240317,Late delivery,11.65
103048,20240315,Changed mind,36.18
103090,20240307,Size/fit,32.11
103101,20240311,Defective,83.35
103113,20240226,Size/fit,94.8
103115,20240227,Size/fit,56.18
103134,20240310,Late delivery,66.27
103176,20240227,Changed mind,17.88
103196,20240228,Late delivery,66.98
103221,20240227,Other,9.34
103236,20240306,Size/fit,31.86
103251,20240314,Changed mind,175.08
103253,20240225,Late delivery,68.59
103257,20240308,Changed mind,295.37
103259,20240226,Defective,33.87
103267,20240309,Changed mind,9.68
103284,20240312,Defective,14.63
103298,20240223,Late delivery,51.5
103306,20240318,Late delivery,168.83
103307,20240228,Defective,71.38
103318,20240301,Size/fit,20.58
103334,20240318,Size/fit,44.12
103365,20240224,Size/fit,26.69
103404,20240304,Changed mind,104.58
103427,20240310,Late delivery,26.43
103429,20240301,Defective,33.63
103438,20240304,Size/fit,102.69
103441,20240309,Size/fit,178.73
103461,20240322,Late delivery,36.97
103474,20240310,Size/fit,41.8
103487,20240307,Size/fit,10.28
103492,20240301,Size/fit,5.85
103494,20240311,Defective,223.91
103507,20240315,Size/fit,11.71
103520,20240322,Changed mind,15.44
103531,20240307,Other,48.06
103543,20240314,Changed mind,49.7
103558,20240321,Size/fit,218.28
103569,20240323,Defective,206.78
103573,20240313,Size/fit,36.49
103574,20240307,Changed mind,25.41
103595,20240301,Changed mind,89.26
103614,20240324,Other,32.12
103631,20240315,Size/fit,98.86
103640,20240301,Changed mind,83.61
103652,20240324,Late delivery,198.69
103663,20240302,Defective,113.06
103688,20240314,Size/fit,25.4
103721,20240304,Changed mind,22.2
103728,20240304,Size/fit,85.93
103734,20240301,Changed mind,10.99
103741,20240313,Defective,29.21
103749,20240303,Changed mind,185.46
103757,20240324,Size/fit,60.97
103779,20240325,Size/fit,4.42
103796,20240314,Size/fit,85.92
103828,20240325,Late delivery,69.95
103850,20240310,Size/fit,15.74
103868,20240312,Changed mind,56.87
103901,20240323,Changed mind,12.94
103914,20240308,Other,394.45
103916,20240304,Size/fit,40.59
103922,20240314,Defective,39.38
103925,20240312,Size/fit,45.94
103929,20240310,Size/fit,55.33
103932,20240311,Defective,131.01
103945,20240327,Changed mind,618.63
103949,20240320,Defective,74.68
103997,20240327,Size/fit,37.8
104006,20240315,Changed mind,23.55
104014,20240315,Changed mind,81.64
104030,20240317,Size/fit,31.02
104035,20240317,Late delivery,124.07
104050,20240310,Changed mind,127.53
104056,20240327,Other,25.84
104059,20240311,Changed mind,31.46
104069,20240326,Defective,82.18
104073,20240309,Changed mind,36.28
104078,20240311,Size/fit,11.13
104081,20240315,Size/fit,58.44
104090,20240401,Size/fit,227.03
104091,20240312,Other,104.64
104117,20240327,Late delivery,49.66
104129,20240320,Size/fit,19.29
104131,20240313,Late delivery,40.78
104148,20240307,Other,39.82
104166,20240320,Late delivery,29.58
104175,20240324,Changed mind,21.98
104198,20240314,Size/fit,96.89
104202,20240313,Size/fit,98.21
104206,20240321,Other,69.29
104211,20240327,Changed mind,7.81
104222,20240402,Late delivery,99.5
104229,20240307,Size/fit,12.97
104251,20240403,Size/fit,19.16
104256,20240321,Size/fit,11.74
104270,20240308,Size/fit,87.03
104278,20240405,Size/fit,102.39
104288,20240320,Size/fit,12.72
104299,20240327,Changed mind,86.02
104305,20240316,Defective,35.73
104320,20240404,Late delivery,185.71
104327,20240326,Size/fit,115.29
104334,20240323,Changed mind,59.96
104340,20240405,Late delivery,14.07
104381,20240317,Changed mind,13.46
104392,20240317,Other,21.45
104415,20240405,Other,46.33
104422,20240314,Size/fit,95.01
104427,20240318,Changed mind,13.74
104448,20240328,Changed mind,58.7
104454,20240319,Defective,23.26
104464,20240320,Size/fit,50.21
104470,20240330,Size/fit,9.21
104488,20240328,Late delivery,68.13
104509,20240404,Size/fit,25.53
104541,20240329,Size/fit,20.44
104562,20240406,Size/fit,282.17
104568,20240316,Defective,87.77
104571,20240319,Other,118.53
104589,20240328,Size/fit,33.62
104593,20240315,Size/fit,93.95
104599,20240403,Changed mind,101.51
104601,20240320,Changed mind,36.68
104617,20240322,Size/fit,110.69
104619,20240331,Size/fit,18.01
104621,20240316,Late delivery,49.96
104632,20240320,Size/fit,132.06
104682,20240324,Size/fit,14.51
104731,20240331,Changed mind,163.45
104769,20240401,Size/fit,44.47
104770,20240406,Size/fit,13.96
104777,20240405,Other,538.71
104796,20240408,Size/fit,63.85
104798,20240409,Other,28.79
104802,20240317,Size/fit,40.96
104811,20240328,Changed mind,79.54
104829,20240328,Size/fit,59.93
104834,20240402,Changed mind,14.67
104839,20240402,Defective,17.69
104847,20240403,Defective,30.66
104865,20240316,Size/fit,62.05
104866,20240331,Defective,25.96
104875,20240406,Late delivery,56.88
104900,20240330,Defective,59.0
104902,20240408,Size/fit,74.92
104925,20240411,Size/fit,13.89
104948,20240410,Other,82.0
104956,20240330,Size/fit,66.18
104957,20240410,Defective,202.12
104965,20240318,Late delivery,79.91
104966,20240328,Defective,7.39
104979,20240414,Size/fit,28.74
104980,20240322,Late delivery,42.19
104987,20240318,Changed mind,64.21
104988,20240405,Size/fit,238.95
105000,20240321,Size/fit,55.45
105004,20240412,Size/fit,530.39
105006,20240407,Late delivery,46.7
105014,20240402,Late delivery,27.71
105017,20240401,Changed mind,136.53
105018,20240406,Changed mind,48.35
105032,20240327,Size/fit,24.55
105038,20240320,Size/fit,20.25
105039,20240322,Size/fit,26.35
105044,20240401,Changed mind,229.09
105051,20240406,Other,14.68
105062,20240401,Defective,51.31
105076,20240328,Changed mind,118.15
105080,20240406,Changed mind,246.75
105083,20240406,Size/fit,11.37
105088,20240410,Defective,8.5
105110,20240416,Other,234.57
105118,20240404,Late delivery,33.51
105119,20240328,Defective,25.18
105131,20240331,Changed mind,11.52
105132,20240326,Size/fit,22.41
105152,20240327,Size/fit,225.13
105157,20240325,Size/fit,167.2
105162,20240321,Changed mind,16.98
105176,20240412,Size/fit,66.34
105178,20240413,Late delivery,83.37
105182,20240414,Changed mind,31.63
105188,20240328,Late delivery,41.09
105189,20240330,Defective,37.69
105194,20240408,Size/fit,199.3
105197,20240321,Defective,138.57
105198,20240402,Changed mind,5.86
105202,20240413,Changed mind,105.0
105214,20240326,Changed mind,16.75
105239,20240418,Size/fit,111.52
105255,20240406,Changed mind,197.82
105277,20240331,Size/fit,147.63
105303,20240324,Size/fit,18.27
105317,20240324,Size/fit,7.47
105338,20240417,Size/fit,16.7
105364,20240412,Size/fit,53.22
105370,20240404,Size/fit,52.97
105372,20240401,Late delivery,143.89
105376,20240406,Late delivery,119.63
105382,20240330,Changed mind,30.75
105405,20240407,Defective,87.79
105408,20240404,Size/fit,34.11
105415,20240422,Size/fit,25.12
105442,20240326,Size/fit,27.82
105445,20240407,Changed mind,166.24
105447,20240422,Late delivery,15.2
105461,20240415,Changed mind,86.31
105463,20240414,Size/fit,147.03
105483,20240407,Size/fit,88.99
105494,20240420,Late delivery,57.74
105552,20240327,Size/fit,41.26
105568,20240404,Late delivery,4.66
105597,20240420,Size/fit,14.33
105599,20240411,Defective,25.93
105630,20240413,Defective,21.28
105648,20240420,Changed mind,157.59
105652,20240405,Changed mind,45.97
105663,20240403,Size/fit,45.73
105670,20240329,Other,60.24
105674,20240413,Size/fit,35.95
105685,20240401,Other,70.31
105703,20240407,Size/fit,25.78
105712,20240414,Size/fit,57.13
105728,20240402,Late delivery,20.84
105738,20240411,Size/fit,870.39
105769,20240410,Changed mind,173.34
105774,20240408,Size/fit,118.35
105789,20240408,Late delivery,62.2
105808,20240413,Size/fit,384.2
105811,20240426,Size/fit,107.31
105826,20240416,Changed mind,304.17
105877,20240403,Defective,82.53
105881,20240412,Size/fit,39.58
105885,20240425,Size/fit,20.2
105905,20240429,Defective,160.5
105912,20240424,Size/fit,18.99
105921,20240419,Changed mind,58.5
105939,20240411,Changed mind,71.89
105956,20240408,Changed mind,44.23
105972,20240421,Size/fit,13.9
105977,20240414,Changed mind,35.74
105982,20240420,Size/fit,13.72
106005,20240409,Changed mind,78.49
106017,20240420,Other,41.27
106027,20240420,Changed mind,22.04
106033,20240406,Late delivery,78.2
106037,20240430,Size/fit,68.9
106056,20240430,Changed mind,194.94
106060,20240420,Size/fit,10.02
106078,20240404,Changed mind,176.63
106097,20240418,Changed mind,102.25
106103,20240420,Late delivery,8.28
106112,20240416,Size/fit,14.87
106121,20240417,Defective,54.26
106132,20240413,Changed mind,103.27
106149,20240412,Defective,46.16
106150,20240501,Other,45.08
106155,20240408,Size/fit,97.79
106179,20240411,Size/fit,65.55
106188,20240501,Defective,115.38
106197,20240408,Changed mind,39.63
106221,20240415,Late delivery,210.09
106228,20240407,Size/fit,153.21
106233,20240425,Size/fit,139.74
106240,20240429,Size/fit,200.71
106249,20240410,Defective,82.36
106264,20240426,Size/fit,22.7
106267,20240413,Size/fit,15.1
106288,20240417,Size/fit,10.25
106289,20240418,Changed mind,38.44
106294,20240505,Changed mind,62.67
106300,20240408,Defective,42.66
106308,20240430,Defective,27.09
106341,20240411,Changed mind,77.3
106343,20240415,Changed mind,41.28
106348,20240505,Changed mind,185.12
106358,20240426,Defective,4.29
106368,20240419,Size/fit,49.3
106370,20240413,Other,29.03
106371,20240410,Late delivery,69.01
106384,20240415,Late delivery,134.11
106385,20240413,Size/fit,21.82
106396,20240501,Other,17.67
106399,20240420,Changed mind,21.69
106404,20240502,Changed mind,79.07
106437,20240508,Size/fit,13.83
106451,20240410,Size/fit,52.18
106493,20240427,Size/fit,60.31
106501,20240412,Size/fit,31.32
106528,20240416,Late delivery,11.54
106536,20240421,Defective,77.16
106566,20240427,Changed mind,49.65
106567,20240425,Defective,7.06
106569,20240505,Defective,20.18
106600,20240417,Other,40.24
106613,20240425,Size/fit,100.26
106617,20240502,Size/fit,66.73
106641,20240429,Defective,84.63
106664,20240430,Defective,26.9
106680,20240416,Size/fit,30.78
106687,20240509,Other,23.92
106720,20240430,Size/fit,65.06
106724,20240502,Late delivery,43.93
106742,20240503,Defective,265.64
106758,20240430,Size/fit,89.7
106763,20240420,Size/fit,31.5
106776,20240415,Size/fit,334.91
106787,20240419,Defective,21.58
106789,20240508,Size/fit,104.39
106792,20240423,Changed mind,34.77
106830,20240505,Other,40.59
106839,20240427,Size/fit,237.06
106850,20240424,Size/fit,18.37
106853,20240429,Defective,11.53
106858,20240430,Size/fit,39.37
106874,20240423,Late delivery,216.59
106876,20240506,Late delivery,221.27
106892,20240421,Defective,393.88
106894,20240506,Changed mind,451.45
106901,20240505,Defective,45.25
106913,20240429,Changed mind,87.31
106918,20240428,Other,15.6
106957,20240418,Size/fit,90.79
106959,20240509,Size/fit,15.22
106966,20240503,Other,35.15
106967,20240428,Changed mind,180.27
106968,20240418,Defective,73.71
106983,20240503,Changed mind,127.68
106990,20240419,Changed mind,97.25
107027,20240505,Late delivery,44.96
107032,20240502,Size/fit,163.51
107033,20240514,Changed mind,29.22
107044,20240514,Late delivery,28.8
107047,20240509,Size/fit,8.8
107108,20240503,Late delivery,38.64
107116,20240518,Changed mind,13.22
107122,20240501,Changed mind,20.54
107125,20240427,Size/fit,43.94
107128,20240423,Changed mind,142.45
107149,20240517,Size/fit,23.41
107153,20240515,Defective,66.33
107168,20240513,Changed mind,23.88
107176,20240505,Size/fit,105.44
107227,20240516,Late delivery,111.86
107235,20240519,Size/fit,104.41
107244,20240520,Size/fit,25.08
107259,20240426,Size/fit,20.29
107269,20240429,Late delivery,539.33
107282,20240516,Other,61.79
107292,20240521,Size/fit,474.33
107307,20240517,Size/fit,160.84
107331,20240427,Changed mind,132.36
107336,20240517,Size/fit,189.42
107339,20240522,Changed mind,4.4
107342,20240427,Size/fit,11.77
107350,20240511,Size/fit,34.08
107353,20240504,Size/fit,25.9
107355,20240518,Size/fit,117.34
107371,20240504,Size/fit,77.28
107384,20240429,Changed mind,17.7
107391,20240518,Size/fit,224.07
107400,20240518,Size/fit,202.1
107410,20240511,Other,241.49
107412,20240516,Changed mind,150.53
107415,20240426,Size/fit,25.74
107432,20240523,Size/fit,19.39
107475,20240505,Changed mind,61.87
107484,20240427,Changed mind,49.97
107522,20240429,Late delivery,315.14
107548,20240430,Changed mind,55.74
107564,20240524,Size/fit,57.2
107574,20240509,Late delivery,496.63
107602,20240511,Size/fit,22.75
107624,20240508,Size/fit,50.92
107634,20240501,Other,118.09
107660,20240521,Late delivery,17.43
107662,20240429,Size/fit,33.02
107695,20240517,Defective,74.25
107700,20240511,Defective,117.43
107708,20240512,Size/fit,60.62
107723,20240518,Late delivery,129.58
107749,20240521,Defective,12.45
107769,20240521,Size/fit,16.2
107791,20240505,Size/fit,44.03
107816,20240510,Changed mind,32.24
107823,20240505,Size/fit,160.21
107828,20240520,Late delivery,915.44
107840,20240519,Changed mind,119.17
107880,20240531,Changed mind,39.98
107892,20240522,Other,209.95
107916,20240508,Other,40.77
107953,20240529,Defective,108.2
107974,20240509,Late delivery,62.77
107980,20240526,Changed mind,21.49
107994,20240525,Size/fit,17.15
108013,20240516,Defective,86.66
108032,20240528,Size/fit,149.71
108040,20240515,Other,93.15
108054,20240515,Size/fit,33.77
108070,20240514,Other,161.93
108088,20240531,Size/fit,198.58
108092,20240510,Size/fit,60.22
108095,20240521,Changed mind,6.88
108104,20240512,Size/fit,279.32
108122,20240531,Other,60.49
108128,20240515,Size/fit,35.04
108142,20240602,Defective,186.85
108167,20240516,Size/fit,29.19
108171,20240520,Size/fit,14.0
108184,20240529,Size/fit,105.87
108187,20240519,Size/fit,24.63
108189,20240605,Size/fit,79.95
108193,20240603,Late delivery,169.72
108212,20240603,Size/fit,322.01
108217,20240602,Size/fit,18.6
108242,20240509,Defective,78.4
108275,20240515,Defective,77.96
108281,20240528,Changed mind,95.51
108289,20240602,Late delivery,25.08
108305,20240510,Size/fit,28.74
108315,20240521,Other,516.23
108319,20240601,Size/fit,26.81
108362,20240511,Other,15.04
108390,20240601,Defective,48.89
108395,20240601,Size/fit,26.55
108420,20240528,Changed mind,83.22
108421,20240605,Defective,9.69
108423,20240601,Size/fit,12.32
108437,20240513,Late delivery,54.82
108454,20240519,Size/fit,52.65
108489,20240521,Changed mind,210.39
108511,20240608,Changed mind,11.88
108520,20240520,Size/fit,20.33
108529,20240530,Late delivery,19.04
108536,20240603,Defective,26.04
108545,20240524,Size/fit,52.62
108547,20240525,Size/fit,11.81
108549,20240602,Size/fit,50.91
108552,20240521,Size/fit,88.19
108566,20240526,Changed mind,88.55
108570,20240531,Changed mind,47.65
108581,20240526,Size/fit,14.73
108584,20240527,Changed mind,59.63
108585,20240610,Size/fit,180.53
108591,20240601,Defective,42.32
108611,20240525,Changed mind,92.6
108630,20240521,Size/fit,204.01
108633,20240605,Changed mind,132.54
108650,20240610,Size/fit,59.78
108656,20240517,Late delivery,15.3
108664,20240607,Defective,169.93
108680,20240607,Defective,19.43
108691,20240603,Size/fit,57.95
108695,20240525,Size/fit,213.07
108710,20240524,Changed mind,232.68
108755,20240526,Size/fit,24.62
108761,20240607,Size/fit,180.71
108768,20240516,Changed mind,79.43
108770,20240612,Changed mind,29.8
108775,20240606,Defective,24.52
108793,20240527,Size/fit,19.67
108802,20240610,Changed mind,55.88
108821,20240603,Changed mind,60.03
108823,20240522,Changed mind,187.99
108825,20240529,Late delivery,50.83
108835,20240602,Changed mind,7.43
108844,20240603,Changed mind,43.09
108849,20240604,Defective,79.82
108852,20240522,Late delivery,28.73
108891,20240615,Size/fit,186.53
108892,20240523,Changed mind,151.52
108893,20240608,Size/fit,155.4
108926,20240531,Late delivery,212.25
108936,20240616,Changed mind,13.2
108950,20240525,Size/fit,103.07
108952,20240607,Size/fit,132.65
108981,20240526,Changed mind,277.37
109034,20240604,Size/fit,119.57
109040,20240531,Changed mind,152.55
109066,20240529,Other,28.84
109083,20240529,Changed mind,93.1
109097,20240612,Size/fit,173.04
109114,20240523,Size/fit,13.52
109126,20240608,Other,26.38
109128,20240609,Other,59.28
109132,20240525,Defective,4.48
109135,20240619,Late delivery,192.11
109137,20240617,Changed mind,49.59
109139,20240605,Size/fit,33.03
109173,20240617,Size/fit,16.82
109180,20240603,Size/fit,105.21
109215,20240611,Late delivery,7.52
109216,20240617,Defective,39.53
109254,20240610,Changed mind,580.49
109266,20240618,Size/fit,36.4
109273,20240615,Changed mind,18.17
109277,20240613,Size/fit,59.63
109286,20240601,Size/fit,147.99
109315,20240616,Size/fit,36.14
109324,20240618,Changed mind,60.27
109326,20240530,Changed mind,18.14
109327,20240604,Changed mind,46.61
109328,20240620,Late delivery,212.59
109329,20240622,Other,196.1
109341,20240621,Defective,15.5
109344,20240608,Size/fit,22.87
109346,20240528,Size/fit,57.6
109348,20240616,Changed mind,50.18
109366,20240603,Size/fit,83.62
109381,20240609,Defective,86.55
109398,20240605,Defective,102.91
109433,20240615,Size/fit,43.91
109450,20240530,Changed mind,144.01
109456,20240603,Changed mind,15.44
109463,20240528,Size/fit,28.92
109465,20240611,Size/fit,115.36
109499,20240617,Size/fit,22.26
109528,20240607,Size/fit,17.47
109535,20240603,Defective,33.16
109555,20240623,Changed mind,23.16
109575,20240624,Size/fit,21.46
109592,20240603,Other,138.46
109593,20240613,Changed mind,26.28
109595,20240617,Size/fit,39.67
109632,20240614,Other,6.45
109652,20240608,Defective,95.1
109667,20240531,Late delivery,97.85
109668,20240611,Late delivery,125.04
109680,20240613,Late delivery,78.24
109685,20240628,Late delivery,54.04
109692,20240615,Size/fit,25.4
109728,20240607,Late delivery,29.91
109731,20240626,Changed mind,141.61
109746,20240614,Size/fit,19.74
109764,20240609,Defective,36.98
109771,20240621,Defective,86.3
109774,20240623,Size/fit,116.92
109775,20240603,Late delivery,51.24
109781,20240622,Changed mind,60.32
109792,20240608,Other,296.92
109793,20240618,Changed mind,29.73
109813,20240630,Size/fit,30.62
109814,20240613,Size/fit,105.65
109822,20240623,Changed mind,22.57
109825,20240607,Changed mind,116.19
109827,20240606,Other,31.46
109857,20240621,Late delivery,29.36
109876,20240630,Size/fit,76.28
109883,20240619,Changed mind,55.09
109890,20240616,Other,13.1
109903,20240610,Changed mind,7.43
109906,20240624,Size/fit,57.66
109913,20240607,Changed mind,507.85
109915,20240627,Size/fit,481.36
109918,20240617,Defective,206.61
109924,20240622,Defective,23.79
109927,20240618,Changed mind,35.74
109940,20240614,Changed mind,67.88
109976,20240616,Size/fit,246.55
109984,20240627,Changed mind,177.96
109995,20240618,Defective,19.14
110015,20240621,Size/fit,56.54
110027,20240625,Size/fit,93.38
110031,20240612,Other,33.21
110034,20240621,Defective,37.51
110051,20240630,Size/fit,62.09
110064,20240621,Late delivery,184.6
110109,20240608,Other,35.67
110127,20240618,Changed mind,33.74
110128,20240608,Size/fit,405.89
110139,20240628,Changed mind,120.77
110141,20240628,Changed mind,181.58
110165,20240609,Size/fit,31.97
110177,20240626,Size/fit,24.54
110183,20240627,Defective,20.8
110191,20240614,Changed mind,61.41
110194,20240701,Size/fit,32.03
110208,20240619,Defective,18.49
110209,20240702,Changed mind,11.84
110230,20240620,Other,24.74
110232,20240610,Changed mind,158.38
110233,20240613,Size/fit,142.01
110258,20240609,Other,153.52
110278,20240705,Other,216.37
110300,20240702,Size/fit,10.55
110303,20240625,Other,100.27
110326,20240614,Other,35.07
110328,20240701,Other,36.78
110329,20240621,Late delivery,76.15
110330,20240701,Late delivery,20.37
110332,20240623,Size/fit,19.55
110337,20240706,Late delivery,19.09
110341,20240707,Size/fit,38.72
110344,20240614,Defective,20.3
110347,20240704,Defective,96.99
110365,20240622,Size/fit,162.16
110380,20240705,Size/fit,52.43
110407,20240615,Size/fit,85.42
110411,20240612,Other,35.82
110420,20240709,Size/fit,14.02
110426,20240708,Changed mind,54.78
110440,20240613,Defective,24.81
110443,20240625,Late delivery,161.68
110460,20240705,Size/fit,143.48
110465,20240619,Size/fit,91.88
110476,20240625,Defective,39.63
110478,20240701,Size/fit,10.15
110485,20240703,Defective,34.65
110510,20240707,Size/fit,30.69
110514,20240621,Other,150.87
110528,20240710,Late delivery,37.29
110529,20240630,Defective,120.83
110548,20240630,Other,551.43
110600,20240620,Size/fit,164.93
